,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
322,프론트엔드 엔지니어,와이더플래닛,프론트엔드 개발자,,,"서울 서울 강남구 테헤란로 211, 한국고등교육재단빌딩 8층",,"['Git', 'React', 'Java', 'JavaScript', 'SQL', 'Maven', 'Spring Framework', 'Gradle', 'JPA', 'Spring Boot']",https://www.wanted.co.kr///wd/147351
323,프론트엔드 개발자,마인드허브,프론트엔드 개발자,,,경기 경기도 안양시 동안구 시민대로327번길 11-41 801호,,"['Git', 'Android', 'Kotlin', 'TypeScript', 'AWS', 'NodeJS', 'React.js', 'Nest.js']",https://www.wanted.co.kr///wd/69606
324,[신입] 프론트엔드 개발(flutter),띵킹프렌즈,"프론트엔드 개발자, 안드로이드 개발자, iOS 개발자",,,"서울 강남구 역삼로 65길 15, 501호(띵킹프렌즈 기업부설연구소)",,"['Git', 'Firebase', 'C#', 'Python', 'AWS', 'Flutter']",https://www.wanted.co.kr///wd/156317
325,프론트엔드 개발(flutter),띵킹프렌즈,"프론트엔드 개발자, 안드로이드 개발자, iOS 개발자",,,"서울 강남구 역삼로 65길 15, 501호(띵킹프렌즈 기업부설연구소)",,"['Git', 'Firebase', 'C#', 'Python', 'AWS', 'Flutter']",https://www.wanted.co.kr///wd/77743
326,프론트엔드 엔지니어,나두모두,프론트엔드 개발자,,,서울 서울 강남구 테헤란로 311 아남타워 1421호,,"['Github', 'React', 'TypeScript', 'AWS', 'Docker', 'Next.js']",https://www.wanted.co.kr///wd/150467
327,웹 프론트엔드 개발자,타입비,프론트엔드 개발자,,,"서울 서울특별시 서초구 방배천로4길 28, 2층 (방배동, 연웅빌딩)",,"['Git', 'React', 'TypeScript', 'REST']",https://www.wanted.co.kr///wd/161938
328,Frontend Developer,화이트블록,프론트엔드 개발자,,,서울 서울시 성동구 성수일로 77 서울숲IT밸리 807호,,"['AngularJS', 'React', 'Flutter']",https://www.wanted.co.kr///wd/133495
329,Machine Learning Engineer (AI 기반 클라우드 최적화),오케스트로,"프론트엔드 개발자, 자바 개발자, 머신러닝 엔지니어",,,서울 서울시 영등포구 여의대로 108 PARC1 NH금융타워(PARK ONE TOWER 2) 빌딩 43층,,[],https://www.wanted.co.kr///wd/121972
330,솔루션 개발자,모빌러그,"프론트엔드 개발자, 자바 개발자, 개발 매니저",,,"서울 서울특별시 광진구 광나루로56길 85 테크노-마트21 사무동23층 03호,04호",,"['HTML', 'JavaScript', 'SQL', 'AWS', 'jQuery', 'Tomcat', 'Eclipse', 'JSP']",https://www.wanted.co.kr///wd/162053
331,프론트엔드 개발자,레몬클라우드,프론트엔드 개발자,,,서울 서울 송파구 위례성대로16길 9 (방이동),,"['Git', 'Github', 'AngularJS', 'React', 'Tensorflow', 'Python', 'TypeScript', 'AWS', 'Docker', 'ElasticSearch', 'NodeJS', 'React Native']",https://www.wanted.co.kr///wd/107640
332,AI 플랫폼컨설팅 프론트엔드 / 백엔드 개발자,애자일소다,"프론트엔드 개발자, 자바 개발자",,,서울 서울시 강남구 선릉로 525 인포스톰빌딩 3층,,"['CSS', 'HTML', 'JavaScript', 'JSON', 'Node.js', 'jQuery', 'RDBMS']",https://www.wanted.co.kr///wd/159010
333,프론트엔드 개발자,가보드림,프론트엔드 개발자,2023-06-15,,서울 서울특별시 서초구 마방로10,,"['React', 'JavaScript', 'React.js', 'React Native', 'Next.js']",https://www.wanted.co.kr///wd/160318
334,주니어 프론트엔드 개발자,엑싯업,프론트엔드 개발자,,,서울 서울 성동구 성수일로8길 5,,"['CSS', 'HTML', 'TypeScript', 'React.js', 'Next.js']",https://www.wanted.co.kr///wd/159365
335,C++ 개발 연구원 [KIOSK 개발],스마트캐스트,"프론트엔드 개발자, C,C++ 개발자, 임베디드 개발자",,,경기 경기 고양시 일산동구 경의로 235,,[],https://www.wanted.co.kr///wd/137013
336,C++ 개발 연구원 [주문관리 솔루션 KDS 개발],스마트캐스트,"프론트엔드 개발자, C,C++ 개발자, 임베디드 개발자",,,경기 경기 고양시 일산동구 경의로 235,,[],https://www.wanted.co.kr///wd/137012
337,UI/UX 디자인/프론트엔드 개발,제이어스,프론트엔드 개발자,,,"부산 부산광역시 사상구 모라로 6번길 13-15, 제이어스 빌딩",,"['Git', 'MATLAB', 'JavaScript', 'Python', 'TypeScript', 'C', 'C++', 'UI 디자인', 'React.js']",https://www.wanted.co.kr///wd/131704
338,"[신입, 졸업예정] C++ 개발 연구원",스마트캐스트,"프론트엔드 개발자, C,C++ 개발자, 안드로이드 개발자",,,경기 경기 고양시 일산동구 경의로 235,,[],https://www.wanted.co.kr///wd/118442
339,프론트 엔지니어 ( JS / React.js ),거북선컴퍼니,프론트엔드 개발자,,,서울 서울 강남구 테헤란로6길 42,,[],https://www.wanted.co.kr///wd/78053
340,(현역/보충역) 병역특례 전문 연구 요원,시큐어레터 ,"자바 개발자, C,C++ 개발자, 머신러닝 엔지니어",,,서울 대치로 223 대사빌딩 2층(페이레터 빌딩),,"['Git', 'Linux', 'MySQL', 'JavaScript', 'Spring Framework']",https://www.wanted.co.kr///wd/126812
341,정량적 연구자/모델러,아템드메라키,"자바 개발자, 파이썬 개발자",,,서울 원격 근무,,[],https://www.wanted.co.kr///wd/119388
342,풀스택 어플리케이션 개발자,전능아이티,"자바 개발자, C,C++ 개발자, .NET 개발자",,,"서울 서울시 서초구 효령로53길 21, 신성빌딩 2층",,"['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']",https://www.wanted.co.kr///wd/144679
343,RPA SM/SI,아임잇,"자바 개발자, 파이썬 개발자, .NET 개발자",,,서울 서울특별시 금천구 가산디지털1로,,"['Java', 'WebSphere MQ']",https://www.wanted.co.kr///wd/88428
344,주니어 어플리케이션 개발자,가인지캠퍼스,"자바 개발자, iOS 개발자",,,"서울 마포구 성지길 39, 합정빌딩 3층",,"['Android', 'iOS', 'JavaScript', 'TypeScript', 'AWS', 'NodeJS', 'React Native']",https://www.wanted.co.kr///wd/153010
345,Back-End 개발,지니뮤직(geniemusic),자바 개발자,,,"서울 서울특별시 강남구 강남대로 456, 4~9층",,[],https://www.wanted.co.kr///wd/98803
346,[플랫폼 개발] 안드로이드 앱 개발 (신입),티앤케이팩토리(TNK Factory),"자바 개발자, C,C++ 개발자, 안드로이드 개발자",2023-05-31,,"경기 경기도 성남시 분당구 대왕판교로 645번길 14, 티앤케이팩토리",,"['Git', 'iOS', 'JavaScript', 'Swift', 'HTML5']",https://www.wanted.co.kr///wd/155571
347,[전문연구요원] 결제 솔루션 개발자,블루버드(Bluebird),"자바 개발자, C,C++ 개발자",,,서울 서울시 강남구 일원로 115 삼성생명빌딩 3층,,"['Git', 'Linux', 'MySQL', 'HTML', 'Java', 'JavaScript', 'Python', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/139840
348,[전문연구요원] Android framework 개발,블루버드(Bluebird),"자바 개발자, 안드로이드 개발자",,,서울 서울시 강남구 일원로 115 삼성생명빌딩 3층,,"['Git', 'Linux', 'MySQL', 'HTML', 'Java', 'JavaScript', 'Python', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/139811
349,안드로이드 개발자,블루버드(Bluebird),"자바 개발자, C,C++ 개발자, 안드로이드 개발자",,,서울 서울시 강남구 일원로 115 삼성생명빌딩 3층,,"['Git', 'Linux', 'MySQL', 'HTML', 'Java', 'JavaScript', 'Python', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/115189
350,S/W개발자 (장애인 직군),엠아이큐브솔루션,"자바 개발자, C,C++ 개발자",,,서울 서울시 서초구 효령로55길23 동산빌딩 3~5F,,"['Oracle', 'C#', 'CSS', 'HTML', 'Java', 'JavaScript', 'PLC', 'PostgreSQL', 'MES', 'MSSQL']",https://www.wanted.co.kr///wd/156320
351,web developer,투스카이,"자바 개발자, 안드로이드 개발자, Node.js 개발자",,,서울 서울특별시 성동구,,[],https://www.wanted.co.kr///wd/141767
352,연구원(전문연구원 포함),디토닉,"자바 개발자, 개발 매니저, 빅데이터 엔지니어",,,경기 경기도 성남시 분당구 서현로 200,,"['Azure', 'Hadoop', 'Java', 'JavaScript', 'Python', 'Scala', 'AWS']",https://www.wanted.co.kr///wd/120587
353,[100억↑투자] LiDAR Perception Software Developer,에스오에스랩(SOS LAB),"C,C++ 개발자, 파이썬 개발자",,,경기 경기 용인시 수지구 신수로 767 분당 수지유타워 23층,,"['Linux', 'Python', 'C++', 'ROS']",https://www.wanted.co.kr///wd/162221
354,C++ 앱(크로스 플랫폼) 신입 개발자,이모션텍,"C,C++ 개발자, 임베디드 개발자, 크로스플랫폼 앱 개발자",2023-05-31,,서울 서울시 금천구 벚꽃로 244 1206호 (벽산디지털밸리 5차),,"['Git', 'Github', 'Linux', 'React', 'Redis', 'Web Socket', 'JavaScript', 'TypeScript', 'C', 'Go', 'C++', 'HTML5', 'NoSQL', 'Golang', 'Embedded C', 'Notion']",https://www.wanted.co.kr///wd/157981
355,System Application 소프트웨어 개발자 [신입],셀플러스코리아,"C,C++ 개발자, 임베디드 개발자",,,"경기 경기도 안양시 동안구 학의로 282 (관양동, 금강펜테리움IT타워) B동 1814호 (14056)",,"['Linux', 'C / C++']",https://www.wanted.co.kr///wd/146489
356,자율주행 개발부문,베이리스,"C,C++ 개발자",,,"경기 경기도 성남시 수정구 창업로42, 경기기업성장센터 725호",,"['C', 'C++']",https://www.wanted.co.kr///wd/137735
357,비전시스템 S/W개발자,코비스테크놀로지,"C,C++ 개발자",,,경기 경기도 안양시 동안구 엘에스로91번길 16-39 안양IT밸리 902호,,"['C / C++', 'C#', 'C++']",https://www.wanted.co.kr///wd/132668
358,"Qt, C++, MFC 개발자",애니게이트,"C,C++ 개발자, .NET 개발자",,,"서울 서울특별시 용산구 서빙고로 17 (한강로 3가, 센트럴파크 타워) 604~608호",,"['C / C++', 'Python', 'Qt']",https://www.wanted.co.kr///wd/125215
359,"RTL Engineer, SW 개발자, HW 개발자",에이디알에프코리아,"C,C++ 개발자, 파이썬 개발자, 하드웨어 엔지니어",,,경기 경기도 이천시 백사면 이여로 196-16,,"['Git', 'Linux', 'C / C++', 'Python', 'C++', 'PCB 디자인', 'RTL 설계', 'RTL 코딩', 'PCB 레이아웃 설계', 'FPGA 프로토 타이핑']",https://www.wanted.co.kr///wd/123298
360,"GUI, FW 및 SW개발 / 임베디드 리룩스기반 FW개발/FPGA/HW개발",에이디알에프코리아,"C,C++ 개발자, 임베디드 개발자, 하드웨어 엔지니어",,,경기 경기도 이천시 백사면 이여로 196-16,,"['Git', 'Linux', 'C / C++', 'Python', 'C++', 'PCB 디자인', 'RTL 설계', 'RTL 코딩', 'PCB 레이아웃 설계', 'FPGA 프로토 타이핑']",https://www.wanted.co.kr///wd/90724
361,H/W 개발자,알지티,"C,C++ 개발자, 임베디드 개발자, 하드웨어 엔지니어",,,"서울 서울시 금천구 벚꽃로 234, 에이스하이엔드타워 6차, 802호(가산디지털단지역 도보 5분)",,"['Git', 'Linux', 'Python', 'C', 'C++']",https://www.wanted.co.kr///wd/147026
362,자율주행 F/W엔지니어,알지티,"C,C++ 개발자, 파이썬 개발자, 임베디드 개발자",,,"서울 서울시 금천구 벚꽃로 234, 에이스하이엔드타워 6차, 802호(가산디지털단지역 도보 5분)",,"['Git', 'Linux', 'Python', 'C', 'C++']",https://www.wanted.co.kr///wd/107591
363,로보틱스 리서치 엔지니어,마키나락스,"C,C++ 개발자, 파이썬 개발자, 머신러닝 엔지니어",,,"서울 서울특별시 서초구 강남대로 343 , 12층",,"['JavaScript', 'Python', 'QA 엔지니어링']",https://www.wanted.co.kr///wd/149009
364,Planning & Control Engineer,뉴빌리티,"C,C++ 개발자, 임베디드 개발자",,,"서울 왕십리로 115, 2층",,[],https://www.wanted.co.kr///wd/159334
365,"[100억↑투자] CAD, 그래픽스 연구개발직 (전문연구요원 가능)",이마고웍스,"C,C++ 개발자, 머신러닝 엔지니어, 그래픽스 엔지니어",,,서울 서울시 강남구 강남대로 636,,[],https://www.wanted.co.kr///wd/126595
366,[100억↑투자] Web Software Engineer (전문연구요원 가능),이마고웍스,"C,C++ 개발자, 머신러닝 엔지니어, 그래픽스 엔지니어",,,서울 서울시 강남구 강남대로 636,,[],https://www.wanted.co.kr///wd/110896
367,[100억↑투자] AI R&D (Research and Development) Engineer (전문연구요원 가능),이마고웍스,"C,C++ 개발자, 머신러닝 엔지니어, 그래픽스 엔지니어",,,서울 서울시 강남구 강남대로 636,,[],https://www.wanted.co.kr///wd/54058
368,언리얼 개발자 (신입),스페이드컴퍼니,"C,C++ 개발자, 그래픽스 엔지니어",,,"서울 서울시 강남구 영동대로 704, 삼강빌딩 2~3층",,"['Git', 'React', 'CSS', 'HTML', 'JavaScript', 'Figma', 'Next.js', 'Vue.JS']",https://www.wanted.co.kr///wd/159611
369,스마트 컨트랙트 개발자,오지스,"C,C++ 개발자, Node.js 개발자, 블록체인 플랫폼 엔지니어",,,"서울 서울특별시 영등포구 여의도동 여의대로 108, 파크원",,[],https://www.wanted.co.kr///wd/131168
370,NPU Compiler Engineer,모빌린트,"C,C++ 개발자, 파이썬 개발자, 머신러닝 엔지니어",,,"서울 서울특별시 강남구 테헤란로19길 5, 삼보빌딩 7층",,"['Git', 'Pytorch', 'Tensorflow', 'Perl', 'Python', '딥 러닝', 'C', 'C++', '운영체제', '펌웨어', 'FPGA', 'SoC', '컴퓨터 비전', 'Verilog', 'TCL', 'STP', 'Xilinx', 'RTL 설계', 'RTL 코딩']",https://www.wanted.co.kr///wd/117659
371,[100억↑투자] [전문연구요원 가능] Software Engineer - Algorithm,서울로보틱스,"C,C++ 개발자",,,서울 반포대로22길4,,[],https://www.wanted.co.kr///wd/35254
372,SLAM 박사급 연구원 (전문연구요원 가능),맥스트(MAXST),"C,C++ 개발자, 안드로이드 개발자, iOS 개발자",,,"서울 강남구 남부순환로 351길 4, STAY 77 2층",,"['Android', 'iOS', 'OpenGL', 'C++', 'LiDAR']",https://www.wanted.co.kr///wd/147084
373,SLAM 석사급 연구원 (전문연구요원 가능),맥스트(MAXST),"C,C++ 개발자, 안드로이드 개발자, iOS 개발자",,,"서울 강남구 남부순환로 351길 4, STAY 77 2층",,"['Android', 'iOS', 'OpenGL', 'C++', 'LiDAR']",https://www.wanted.co.kr///wd/147083
374,C++ Software Engineer(신입),비주얼캠프,"C,C++ 개발자",,,서울 서초구 매헌로16길 32 희경빌딩 F동 401호,,"['Pytorch', 'Tensorflow', 'JavaScript', 'Python', 'TypeScript', 'AWS', 'C++', 'NodeJS', 'Kubernetes', 'Redux']",https://www.wanted.co.kr///wd/135613
375,게임 클라이언트 개발자,이스트게임즈,"C,C++ 개발자",,,서울 서울 서초구 반포대로3 이스트빌딩 5층(서초동 1464-30),,"['Linux', 'C#', 'PHP', 'Python', 'Windows 서버', 'Bash', 'IPS']",https://www.wanted.co.kr///wd/72109
376,포렌식 아티팩트 분석가 / 분석 모듈 개발자,지엠디소프트(GMDSOFT),"C,C++ 개발자, 파이썬 개발자, .NET 개발자",,,"경기 경기 성남시 분당구 판교역로235, H스퀘어 N동 2층",,"['고객 지원', '기술 문서', '고객 관계', '기술 교육', '기술 관리', '모바일 기술', '교육 기술', 'EnCase', '교육 관리', '강의', 'Notion']",https://www.wanted.co.kr///wd/144783
377,"데이터베이스 복제 솔루션 개발(C/C++, Linux/Unix)",아크데이타,"C,C++ 개발자, DBA",,,대구 대구광역시 수성구 알파시티1로 232,,"['Git', 'Hadoop', 'Linux', 'MySQL', 'Oracle', 'C / C++', 'Python', 'SQL', '데이터베이스', 'UNIX', '복제', 'MSSQL']",https://www.wanted.co.kr///wd/100057
378,RPA 개발자,그릿스탠다드,"C,C++ 개발자, 파이썬 개발자, QA,테스트 엔지니어",2023-06-30,,"서울 성동구 광나루로 144, 더스페이스타워 1210호",,['Python'],https://www.wanted.co.kr///wd/160669
379,연구소 응용 S/W 담당 신입(병특 가능),이엘피,"C,C++ 개발자, 개발 매니저, 영상,음성 엔지니어",,,경기 경기 화성시 삼성1로2길 29,,"['Git', 'GitLab', 'C#', 'Python', '영상', 'OpenCV']",https://www.wanted.co.kr///wd/155769
380,연구소 영상 처리 개발 담당자(병특 가능),이엘피,"C,C++ 개발자, 파이썬 개발자, 영상,음성 엔지니어",,,경기 경기 화성시 삼성1로2길 29,,"['Git', 'GitLab', 'C#', 'Python', '영상', 'OpenCV']",https://www.wanted.co.kr///wd/155766
381,시스템 소프트웨어 개발자(신입),펜타시큐리티시스템,"C,C++ 개발자, DBA",,,"서울 서울특별시 영등포구 여의공원로 115, 8,9층 (여의도동, 세우빌딩)",,[],https://www.wanted.co.kr///wd/146573
382,신호처리/알고리즘 PART,아이시냅스,"C,C++ 개발자, 파이썬 개발자, 머신러닝 엔지니어",,,서울 서울특별시 성동구,,[],https://www.wanted.co.kr///wd/115205
383,Embedded PART,아이시냅스,"C,C++ 개발자, 임베디드 개발자",,,서울 서울특별시 성동구,,[],https://www.wanted.co.kr///wd/115203
384,컴파일러/프로그래밍 언어 개발자,에버스핀,"C,C++ 개발자, 안드로이드 개발자, iOS 개발자",2023-06-10,,"서울 서울시 동작구 노량진로 188, 9~12F(노량진동, 에버스핀빌딩)",,[],https://www.wanted.co.kr///wd/86285
385,응용 SW 개발,바텍,"C,C++ 개발자, 임베디드 개발자, 그래픽스 엔지니어",,,경기 경기도 화성시 삼성1로 2길,,[],https://www.wanted.co.kr///wd/113917
386,[TD실] 프로그래머,슈퍼크리에이티브,"C,C++ 개발자",,,"경기 성남시 분당구 판교역로 192번길 12, B1층, 5층, 6층",,"['Linux', 'MySQL', 'JavaScript', 'Python', 'Ruby', 'C', 'C++', 'SQLite']",https://www.wanted.co.kr///wd/160832
387,네트워크 프로토콜 개발자 (재택근무),티에스엔랩,"C,C++ 개발자, 파이썬 개발자",,,경기 경기도 용인시,,"['인공 지능', '컴파일러']",https://www.wanted.co.kr///wd/152545
388,로블록스 개발자,111퍼센트,"C,C++ 개발자",,,서울 테헤란로152,,[],https://www.wanted.co.kr///wd/153382
389,영상 분석 엔진 C++ 개발자,스탠스,"C,C++ 개발자",,,"서울 서울시 노원구 공릉로232, 서울테크노파크 408호",,"['Git', 'JIRA', 'Pytorch', 'Tensorflow', 'WebGL', 'C#', 'Java', 'Python', 'TypeScript', 'Agile', 'C++', 'NodeJS', 'Nginx', 'Unity3D', 'Redmine']",https://www.wanted.co.kr///wd/159217
390,AI R&D 연구원,에너자이(ENERZAi),"C,C++ 개발자, 파이썬 개발자, 머신러닝 엔지니어",,,"서울 (06159) 서울특별시 강남구 테헤란로 431 6층 6006호(삼성동, 저스트코타워)",,"['Git', 'Github', 'Pytorch', 'Tensorflow', 'Python', '개발', 'C++', '최적화', 'Docker', '카메라', '컴파일러', 'CUDA', 'OpenCL', 'OpenMP', '라이브러리 관리']",https://www.wanted.co.kr///wd/148141
391,인공지능 모델 개발자_서울,에이아이리더,"C,C++ 개발자, 파이썬 개발자",2023-08-15,,서울 중구 남대문로 9길 40 20층 2026호,,[],https://www.wanted.co.kr///wd/160246
392,인공지능 모델 개발자_서울,에이아이리더,"C,C++ 개발자, 파이썬 개발자",2023-06-01,,서울 중구 남대문로 9길 40 20층 2026호,,[],https://www.wanted.co.kr///wd/158244
393,인공지능 모델 개발자_서울,에이아이리더,"C,C++ 개발자, 파이썬 개발자",2023-06-01,,서울 중구 남대문로 9길 40 20층 2026호,,[],https://www.wanted.co.kr///wd/153929
394,인공지능 모델 개발자_대전,에이아이리더,"C,C++ 개발자, 파이썬 개발자",2023-08-17,,"대전 대전광역시 유성구 대학로 291,9층 5호 (구성동, 카이스트 나노종합기술원)",,[],https://www.wanted.co.kr///wd/153927
395,알고리즘 개발자,메디트(Medit),"C,C++ 개발자, 머신러닝 엔지니어, 빅데이터 엔지니어",2023-05-26,,서울 서울특별시 영등포구 양평로25길 8,,"['Linux', 'Java', 'Python', 'AWS', 'UNIX', 'DevOps', 'Kubernetes']",https://www.wanted.co.kr///wd/143899
396,Robotics Firmware Engineer,에니아이(Aniai),"C,C++ 개발자, 임베디드 개발자",,,서울 서울 성동구 상원1길 22 굿타워,,"['Git', 'Github', 'C / C++', 'Python', '마이크로프로세서']",https://www.wanted.co.kr///wd/138074
397,C# WinForm/WPF 응용 프로그래머,웨이브컴퍼니,"C,C++ 개발자",,,서울 서울특별시 마포구 성암로 330 DMC첨단산업센터 713호,,"['Slack', 'C#', 'WPF', 'WinForm', 'WPF 개발']",https://www.wanted.co.kr///wd/133116
398,암호보안 응용 프로그램 개발자,쿤텍,"C,C++ 개발자, 보안 엔지니어",,,"서울 경기도 성남시 수정구 창업로 54, LH기업성장센터 나동 232호",,['Linux'],https://www.wanted.co.kr///wd/155026
399,안티리버싱 응용 프로그램 개발자,쿤텍,"C,C++ 개발자, 보안 엔지니어",,,"서울 경기도 성남시 수정구 창업로 54, LH기업성장센터 나동 232호",,['Linux'],https://www.wanted.co.kr///wd/155024
400,임베디드 응용 프로그램 개발자,쿤텍,"C,C++ 개발자, 보안 엔지니어",,,"서울 경기도 성남시 수정구 창업로 54, LH기업성장센터 나동 232호",,['Linux'],https://www.wanted.co.kr///wd/155022
401,시스템 SW 개발자,쿤텍,"C,C++ 개발자, 파이썬 개발자, 임베디드 개발자",,,"서울 경기도 성남시 수정구 창업로 54, LH기업성장센터 나동 232호",,['Linux'],https://www.wanted.co.kr///wd/142986
402,[전문연구요원] Device Driver 개발자,블루버드(Bluebird),"C,C++ 개발자",,,서울 서울시 강남구 일원로 115 삼성생명빌딩 3층,,"['Git', 'Linux', 'MySQL', 'HTML', 'Java', 'JavaScript', 'Python', 'AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/139809
403,S/W 연구원(용인/분당),루켄테크놀러지스,"C,C++ 개발자",,,경기 경기 용인시 처인구 양지면 중부대로2670번길,,"['MySQL', 'C / C++', 'SQL', 'C++']",https://www.wanted.co.kr///wd/153550
404,C/C++ 및 임베디드 개발자,리보,"C,C++ 개발자",,,인천 인천광역시 연수구 컨벤시아대로 204 인천스타트업파크 1-502 (송도동),,"['iOS', 'Swift']",https://www.wanted.co.kr///wd/146118
405,기구제작 및 설계 (연구소 근무),나노텍,"C,C++ 개발자, 하드웨어 엔지니어",2023-06-30,,경기 성남시 분당구 삼평동 678 삼환하이펙스,,[],https://www.wanted.co.kr///wd/141839
406,"FPGA Logic 설계,개발 엔지니어 (연구소 근무)",나노텍,"C,C++ 개발자, 임베디드 개발자, 하드웨어 엔지니어",2023-06-30,,경기 성남시 분당구 삼평동 678 삼환하이펙스,,[],https://www.wanted.co.kr///wd/141830
407,통신 중계기 Software Engineer,삼지전자,"C,C++ 개발자, 임베디드 개발자",,,경기 경기도 화성시 금곡로 63-27,,"['CAD', 'FPGA', 'ORCAD']",https://www.wanted.co.kr///wd/139601
408,C C++ MATLAB 개발자,제이어스,"C,C++ 개발자",,,"부산 부산광역시 사상구 모라로 6번길 13-15, 제이어스 빌딩",,"['Git', 'MATLAB', 'JavaScript', 'Python', 'TypeScript', 'C', 'C++', 'UI 디자인', 'React.js']",https://www.wanted.co.kr///wd/131705
409,펌웨어 프로그램 개발자,삼원에프에이,"C,C++ 개발자, 임베디드 개발자, 하드웨어 엔지니어",,,부산 부산광역시 해운대구 반송로513번길 66-25,,"['공공 부문', '제안서 작성', '프로젝트 관리']",https://www.wanted.co.kr///wd/128093
410,체외 진단 기기 S/W 개발 및 유지 보수,피씨엘,"C,C++ 개발자, 개발 매니저",,,서울 서울시 송파구 법원로 128 B동 17층,,[],https://www.wanted.co.kr///wd/116985
411,S/W 개발,인더스트리엑스퍼트그룹,"C,C++ 개발자",,,경기 경기도 수원시 영통구 신원로 88 디지털엠파이어2 102동,,"['C / C++', 'C#', 'C++']",https://www.wanted.co.kr///wd/92463
412,안드로이드 개발자(신입~3년),오퍼스엠,안드로이드 개발자,,,"경기 경기도 성남시 분당구 황새울로351번길 10, 5층 504호(서현동, 여암빌딩)",,"['Git', 'Github', 'Android', 'MySQL', 'Java', 'JavaScript', 'Kotlin', 'AWS']",https://www.wanted.co.kr///wd/151310
413,"App 개발(Flutter, Android, iOS)",비엘큐(테스트밸리),"안드로이드 개발자, iOS 개발자, 크로스플랫폼 앱 개발자",,,"서울 서울특별시 강남구 선릉로94길 14 코아렌빌딩 6F, 7F",,"['Git', 'Github', 'JIRA', 'Slack', 'Java', 'AWS', 'Spring Framework', 'ORM', 'Notion']",https://www.wanted.co.kr///wd/87917
414,"[Vrew, vFlat] 안드로이드 개발자",보이저엑스(VoyagerX),안드로이드 개발자,,,서울 서초구 서초대로38길 12 마제스타시티 타워1 10층 (주)보이저엑스,,[],https://www.wanted.co.kr///wd/82181
415,Android 앱 개발 및 유지 보수,딥메디,안드로이드 개발자,,,서울 서초구 강남대로 95길 16 태양빌딩 4층,,"['Git', 'Kotlin', 'Coroutine', 'Flow']",https://www.wanted.co.kr///wd/156974
416,병원용 SW 개발자 [안드로이드＆ IOS 앱 개발],전능아이티,"안드로이드 개발자, iOS 개발자",,,"서울 서울시 서초구 효령로53길 21, 신성빌딩 2층",,"['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']",https://www.wanted.co.kr///wd/143431
417,앱 개발자,호도라,"안드로이드 개발자, iOS 개발자",,,"서울 서울특별시 강남구 영동대로 602, 미켈란107 6층 K12",,"['Android', 'iOS', 'React Native', 'Flutter']",https://www.wanted.co.kr///wd/161129
418,[연구실험장비] 소프트웨어 개발자 (앱 개발),제이오텍,"안드로이드 개발자, iOS 개발자, 크로스플랫폼 앱 개발자",,,대전 대전광역시 유성구 테크노2로 153,,"['.NET', 'iOS', 'C / C++', 'PHP', 'C', '하드웨어', 'C++', '서버', '프로그램 관리', '펌웨어', '임베디드 시스템', '임베디드 소프트웨어', '회로', '서버 관리', '회로 설계', '안드로이드 개발', 'iOS 개발']",https://www.wanted.co.kr///wd/141531
419,[병역특례_현역/보충역] 안드로이드앱(Kotlin) 개발자,넛지헬스케어(캐시워크),안드로이드 개발자,,,서울 서울특별시 강남구 역삼로 136,,"['Git', 'Github', 'Android', 'Google Cloud Platform', 'iOS', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Google Analytics', 'AWS', 'SQL 서버', 'NodeJS', 'Spring Framework', 'GCP', 'Google Apps', 'Android Studio']",https://www.wanted.co.kr///wd/85839
420,산업기능요원(병역특례)Problem Solver,레브잇,"안드로이드 개발자, iOS 개발자, 머신러닝 엔지니어",,,서울 서울특별시 관악구 남부순환로 220길 45 (봉천로 864-3),,"['MongoDB', 'Redis', 'Node.js', 'AWS', 'Nginx', 'React.js', 'React Native']",https://www.wanted.co.kr///wd/162403
421,모바일 (Android) App 개발,뉴아인,안드로이드 개발자,,,서울 (08380)서울 구로구 디지털로33길 27,,"['BitBucket', 'Git', 'JIRA', 'Android', 'iOS', 'Java', 'Kotlin', 'Python', 'Swift', 'C', 'AWS', 'Android Studio', 'Embedded C']",https://www.wanted.co.kr///wd/156321
422,React Native 앱 개발 및 운영,블루밍비트,"안드로이드 개발자, iOS 개발자, 크로스플랫폼 앱 개발자",2023-05-31,,서울 서울 중구 청파로 463,,"['Git', 'React', 'TypeScript', 'AWS', 'SEO', 'Redux']",https://www.wanted.co.kr///wd/158948
423,[병역특례 보충역] 안드로이드 개발자,팬마음,안드로이드 개발자,,,"서울 강남구 역삼로3길 17-6, 10층",,[],https://www.wanted.co.kr///wd/139889
424,Android Developer,바이크뱅크,안드로이드 개발자,,,대구 대구 달서구 성서공단로11길 62,,[],https://www.wanted.co.kr///wd/103003
425,iOS Developer,바이크뱅크,안드로이드 개발자,,,대구 대구 달서구 성서공단로11길 62,,[],https://www.wanted.co.kr///wd/102996
